ベンダ,GRAPHTEC Corporation
モデル,GL900
バージョン,Ver2.09
測定間隔,2ms
測定点数,5000        
トリガ点,1                    
開始時刻,2015-10-05,14:24:11
終了時刻,2015-10-05,14:24:21
トリガ時刻,2015-10-05,14:24:11
アンプ設定
CH,信号名,入力,レンジ,フィルタ,スパン
CH1, " CH 1",TEMP,TC_K,Off,300.000,-100.000,ﾟC
CH2, " CH 2",DC,1-5V,Off,401.000,1.000,kPa
CH3, " CH 3",DC,10V,Off,114.300,0.000,ml
Logic/Pulse,Off
XY1,On,CH3,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH1
XY4,Off,CH1,CH1

測定値
番号,日付,時間,us,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm,AlarmOut
NO.,Date,Time,us,ﾟC,kPa,ml,,,,,
116,2015/10/05,14:24:11,230000,+25.6,+102.3,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
117,2015/10/05,14:24:11,232000,+26.1,+102.5,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
118,2015/10/05,14:24:11,234000,+25.5,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
119,2015/10/05,14:24:11,236000,+25.3,+102.3,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
120,2015/10/05,14:24:11,238000,+25.6,+102.4,+59.96,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
121,2015/10/05,14:24:11,240000,+25.2,+102.4,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
122,2015/10/05,14:24:11,242000,+25.3,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
123,2015/10/05,14:24:11,244000,+25.3,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
124,2015/10/05,14:24:11,246000,+25.3,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
125,2015/10/05,14:24:11,248000,+25.3,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
126,2015/10/05,14:24:11,250000,+25.9,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
127,2015/10/05,14:24:11,252000,+25.6,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
128,2015/10/05,14:24:11,254000,+26.2,+102.3,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
129,2015/10/05,14:24:11,256000,+25.3,+102.4,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
130,2015/10/05,14:24:11,258000,+25.7,+102.3,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
131,2015/10/05,14:24:11,260000,+24.9,+102.3,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
132,2015/10/05,14:24:11,262000,+25.4,+102.3,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
133,2015/10/05,14:24:11,264000,+25.1,+102.3,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
134,2015/10/05,14:24:11,266000,+25.4,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
135,2015/10/05,14:24:11,268000,+25.3,+102.4,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
136,2015/10/05,14:24:11,270000,+25.2,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
137,2015/10/05,14:24:11,272000,+25.7,+102.3,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
138,2015/10/05,14:24:11,274000,+26.0,+102.2,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
139,2015/10/05,14:24:11,276000,+25.1,+102.3,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
140,2015/10/05,14:24:11,278000,+25.4,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
141,2015/10/05,14:24:11,280000,+25.3,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
142,2015/10/05,14:24:11,282000,+25.4,+102.2,+59.91,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
143,2015/10/05,14:24:11,284000,+25.4,+102.2,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
144,2015/10/05,14:24:11,286000,+25.0,+102.4,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
145,2015/10/05,14:24:11,288000,+25.7,+102.3,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
146,2015/10/05,14:24:11,290000,+25.4,+102.3,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
147,2015/10/05,14:24:11,292000,+25.7,+102.4,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
148,2015/10/05,14:24:11,294000,+25.4,+102.2,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
149,2015/10/05,14:24:11,296000,+25.2,+102.4,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
150,2015/10/05,14:24:11,298000,+25.6,+102.4,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
151,2015/10/05,14:24:11,300000,+25.0,+102.4,+59.92,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
152,2015/10/05,14:24:11,302000,+25.1,+102.3,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
153,2015/10/05,14:24:11,304000,+25.1,+102.4,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
154,2015/10/05,14:24:11,306000,+25.3,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
155,2015/10/05,14:24:11,308000,+25.7,+102.2,+59.93,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
156,2015/10/05,14:24:11,310000,+25.7,+102.2,+59.91,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
157,2015/10/05,14:24:11,312000,+25.3,+102.2,+59.94,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
