ベンダ,GRAPHTEC Corporation
モデル,GL900
バージョン,Ver2.09
測定間隔,2ms
測定点数,453         
トリガ点,1                    
開始時刻,2015-10-05,14:24:04
終了時刻,2015-10-05,14:24:04
トリガ時刻,2015-10-05,14:24:04
アンプ設定
CH,信号名,入力,レンジ,フィルタ,スパン
CH1, " CH 1",TEMP,TC_K,Off,300.000,-100.000,ﾟC
CH2, " CH 2",DC,1-5V,Off,401.000,1.000,kPa
CH3, " CH 3",DC,10V,Off,114.300,0.000,ml
Logic/Pulse,Off
XY1,On,CH3,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH1
XY4,Off,CH1,CH1

測定値
番号,日付,時間,us,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm,AlarmOut
NO.,Date,Time,us,ﾟC,kPa,ml,,,,,
136,2015/10/05,14:24:04,270000,+25.4,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
137,2015/10/05,14:24:04,272000,+25.1,+102.4,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
138,2015/10/05,14:24:04,274000,+25.4,+102.3,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
139,2015/10/05,14:24:04,276000,+25.3,+102.3,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
140,2015/10/05,14:24:04,278000,+25.6,+102.3,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
141,2015/10/05,14:24:04,280000,+25.6,+102.3,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
142,2015/10/05,14:24:04,282000,+25.4,+102.4,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
143,2015/10/05,14:24:04,284000,+25.3,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
144,2015/10/05,14:24:04,286000,+25.6,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
145,2015/10/05,14:24:04,288000,+25.0,+102.5,+59.96,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
146,2015/10/05,14:24:04,290000,+25.5,+102.3,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
147,2015/10/05,14:24:04,292000,+25.3,+102.4,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
148,2015/10/05,14:24:04,294000,+25.4,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
149,2015/10/05,14:24:04,296000,+25.4,+102.4,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
150,2015/10/05,14:24:04,298000,+25.5,+102.3,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
151,2015/10/05,14:24:04,300000,+25.1,+102.5,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
152,2015/10/05,14:24:04,302000,+25.4,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
153,2015/10/05,14:24:04,304000,+25.5,+102.3,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
154,2015/10/05,14:24:04,306000,+25.2,+102.3,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
155,2015/10/05,14:24:04,308000,+25.4,+102.5,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
156,2015/10/05,14:24:04,310000,+24.7,+102.4,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
157,2015/10/05,14:24:04,312000,+25.6,+102.3,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
158,2015/10/05,14:24:04,314000,+25.1,+102.4,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
159,2015/10/05,14:24:04,316000,+25.6,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
160,2015/10/05,14:24:04,318000,+25.3,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
161,2015/10/05,14:24:04,320000,+25.9,+102.3,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
162,2015/10/05,14:24:04,322000,+25.6,+102.3,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
163,2015/10/05,14:24:04,324000,+25.6,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
164,2015/10/05,14:24:04,326000,+25.7,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
165,2015/10/05,14:24:04,328000,+25.3,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
166,2015/10/05,14:24:04,330000,+24.9,+102.2,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
167,2015/10/05,14:24:04,332000,+25.3,+102.5,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
168,2015/10/05,14:24:04,334000,+25.3,+102.4,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
169,2015/10/05,14:24:04,336000,+25.6,+102.4,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
170,2015/10/05,14:24:04,338000,+25.6,+102.4,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
171,2015/10/05,14:24:04,340000,+25.6,+102.1,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
172,2015/10/05,14:24:04,342000,+25.5,+102.3,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
173,2015/10/05,14:24:04,344000,+25.6,+102.2,+60.01,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
174,2015/10/05,14:24:04,346000,+25.7,+102.1,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
175,2015/10/05,14:24:04,348000,+25.4,+102.2,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
176,2015/10/05,14:24:04,350000,+25.1,+102.4,+59.97,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
177,2015/10/05,14:24:04,352000,+24.9,+102.2,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
178,2015/10/05,14:24:04,354000,+25.4,+102.5,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
179,2015/10/05,14:24:04,356000,+25.6,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
180,2015/10/05,14:24:04,358000,+25.6,+102.5,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
181,2015/10/05,14:24:04,360000,+25.1,+102.3,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
182,2015/10/05,14:24:04,362000,+25.1,+102.4,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
183,2015/10/05,14:24:04,364000,+25.5,+102.4,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
184,2015/10/05,14:24:04,366000,+25.4,+102.2,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
185,2015/10/05,14:24:04,368000,+25.4,+102.3,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
186,2015/10/05,14:24:04,370000,+25.7,+102.4,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
187,2015/10/05,14:24:04,372000,+25.2,+102.4,+59.99,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
188,2015/10/05,14:24:04,374000,+25.4,+102.5,+59.98,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
189,2015/10/05,14:24:04,376000,+25.4,+102.4,+60.00,****,****,****,****,****,LLLLLLLLLLLLLLLL,LLLL
